collector,start,end,alpha,bravo,charlie
Google Play Random,08/20/2020 05:59:21 AM,08/20/2020 06:01:17 AM,1,3,3
Google Play Random,08/20/2020 03:10:15 AM,08/20/2020 03:12:02 AM,4,5,3
Google Play Random,08/20/2020 02:53:22 AM,08/20/2020 02:54:27 AM,3,5,3
Google Play Random,08/20/2020 02:32:53 AM,08/20/2020 02:33:39 AM,3,4,5
Google Play Random,08/20/2020 02:29:18 AM,08/20/2020 02:35:21 AM,5,3,2
Google Play Beta,08/20/2020 02:00:19 AM,08/20/2020 02:01:53 AM,3,5,3
Google Play Random,08/20/2020 01:09:24 AM,08/20/2020 01:10:33 AM,4,5,3
Google Play Beta,08/19/2020 11:20:36 PM,08/19/2020 11:22:09 PM,2,4,3
Google Play Random,08/19/2020 11:15:53 PM,08/19/2020 11:17:00 PM,3,5,5
Google Play Random,08/19/2020 10:55:38 PM,08/19/2020 10:56:52 PM,1,2,4
Google Play Random,08/19/2020 10:09:45 PM,08/19/2020 10:10:24 PM,2,5,3
Google Play Random,08/19/2020 10:09:44 PM,08/19/2020 10:11:16 PM,1,3,4
Google Play Random,08/19/2020 10:07:48 PM,08/19/2020 10:08:25 PM,2,4,1
Google Play Random,08/19/2020 10:00:14 PM,08/19/2020 10:01:16 PM,5,4,3
Google Play Random,08/19/2020 09:53:07 PM,08/19/2020 09:56:21 PM,2,5,4
Google Play Random,08/19/2020 09:48:31 PM,08/19/2020 09:50:16 PM,3,4,2
Google Play Random,08/19/2020 09:14:58 PM,08/19/2020 09:15:52 PM,5,1,3
Google Play Random,08/19/2020 08:38:01 PM,08/19/2020 08:39:22 PM,4,3,2
Google Play Random,08/19/2020 08:31:37 PM,08/19/2020 08:33:29 PM,3,4,4
Google Play Random,08/19/2020 08:32:06 PM,08/19/2020 08:33:21 PM,1,5,4
Google Play Random,08/19/2020 08:31:44 PM,08/19/2020 08:32:53 PM,1,5,3
Google Play Random,08/19/2020 08:30:29 PM,08/19/2020 08:31:23 PM,2,5,4
Google Play Random,08/19/2020 08:23:17 PM,08/19/2020 08:24:30 PM,3,1,4
Google Play Random,08/19/2020 05:33:50 PM,08/19/2020 05:34:34 PM,4,3,2
Google Play Random,08/19/2020 05:19:19 PM,08/19/2020 05:20:12 PM,5,5,3
Google Play Beta,08/19/2020 04:58:02 PM,08/19/2020 04:59:12 PM,3,3,1
Google Play Random,08/19/2020 04:57:55 PM,08/19/2020 05:02:37 PM,4,5,3
Google Play Random,08/19/2020 04:57:07 PM,08/19/2020 04:58:08 PM,5,5,4
Google Play Random,08/19/2020 04:42:59 PM,08/19/2020 04:44:18 PM,3,4,4
Google Play Random,08/19/2020 04:31:45 PM,08/19/2020 04:32:47 PM,4,5,2
Google Play Random,08/19/2020 04:08:20 PM,08/19/2020 04:10:41 PM,5,5,5
Google Play Random,08/19/2020 03:18:35 PM,08/19/2020 03:19:47 PM,5,4,2
Google Play Random,08/19/2020 03:10:11 PM,08/19/2020 03:11:53 PM,5,1,1
Google Play Random,08/19/2020 02:38:29 PM,08/19/2020 02:43:46 PM,3,5,3
Google Play Random,08/19/2020 02:24:35 PM,08/19/2020 02:26:39 PM,4,2,5
Google Play Random,08/19/2020 01:40:45 PM,08/19/2020 01:41:23 PM,5,4,3
Google Play Random,08/19/2020 01:11:04 PM,08/19/2020 01:11:26 PM,2,5,1
Google Play Random,08/19/2020 01:06:27 PM,08/19/2020 01:06:57 PM,5,3,1
Google Play Random,08/19/2020 01:01:14 PM,08/19/2020 01:01:43 PM,4,4,2
Google Play Random,08/19/2020 10:44:23 AM,08/19/2020 10:45:33 AM,4,4,3
Google Play Random,08/19/2020 10:11:50 AM,08/19/2020 10:12:44 AM,3,5,2
Google Play Random,08/19/2020 10:09:56 AM,08/19/2020 10:10:46 AM,1,5,1
Google Play Random,08/19/2020 09:48:08 AM,08/19/2020 09:48:47 AM,5,4,4
Google Play Random,08/19/2020 09:43:43 AM,08/19/2020 09:46:29 AM,2,5,4
Google Play Random,08/19/2020 06:16:57 AM,08/19/2020 06:19:46 AM,5,2,4
Google Play Random,08/19/2020 05:24:15 AM,08/19/2020 05:25:14 AM,1,5,3
Google Play Random,08/19/2020 02:07:09 AM,08/19/2020 02:08:28 AM,2,3,4
Google Play Beta,08/19/2020 01:54:17 AM,08/19/2020 01:55:29 AM,5,4,3
Google Play Beta,08/19/2020 01:35:35 AM,08/19/2020 01:36:57 AM,4,5,3
Google Play Random,08/19/2020 01:25:58 AM,08/19/2020 01:26:49 AM,1,5,3
Google Play Random,08/19/2020 01:19:50 AM,08/19/2020 01:21:13 AM,2,4,3
Google Play Beta,08/19/2020 12:02:50 AM,08/19/2020 12:03:38 AM,4,5,3
Google Play Random,08/18/2020 11:40:59 PM,08/18/2020 11:41:50 PM,4,4,5
Google Play Random,08/18/2020 11:13:07 PM,08/18/2020 11:14:14 PM,5,4,3
Google Play Random,08/18/2020 10:58:24 PM,08/18/2020 10:58:52 PM,4,3,4
Google Play Random,08/18/2020 10:52:32 PM,08/18/2020 10:53:04 PM,1,3,4
Google Play Random,08/18/2020 10:29:34 PM,08/18/2020 10:31:23 PM,1,5,3
Google Play Random,08/18/2020 10:06:15 PM,08/18/2020 10:07:14 PM,2,5,3
Google Play Random,08/18/2020 09:59:25 PM,08/18/2020 10:01:28 PM,5,1,3
Google Play Random,08/18/2020 09:58:25 PM,08/18/2020 09:59:44 PM,4,5,3
Google Play Random,08/18/2020 09:57:12 PM,08/18/2020 09:59:27 PM,2,4,3
Google Play Random,08/18/2020 09:52:50 PM,08/18/2020 09:53:55 PM,1,2,5
Google Play Random,08/18/2020 09:47:36 PM,08/18/2020 09:49:11 PM,3,5,4
Google Play Random,08/18/2020 09:34:06 PM,08/18/2020 09:34:55 PM,1,3,5
Google Play Random,08/18/2020 09:26:09 PM,08/18/2020 09:31:11 PM,5,4,2
Google Play Random,08/18/2020 09:26:18 PM,08/18/2020 09:28:39 PM,2,5,1
Google Play Random,08/18/2020 09:19:16 PM,08/18/2020 09:20:48 PM,3,4,2
Google Play Random,08/18/2020 08:56:27 PM,08/18/2020 08:57:30 PM,3,2,5
Google Play Random,08/18/2020 08:50:35 PM,08/18/2020 08:54:25 PM,4,4,3
Google Play Random,08/18/2020 08:41:45 PM,08/18/2020 08:56:25 PM,5,2,4
Google Play Random,08/18/2020 08:37:49 PM,08/18/2020 08:39:04 PM,4,2,4
Google Play Random,08/18/2020 06:59:47 PM,08/18/2020 07:00:55 PM,4,3,3
Google Play Random,08/18/2020 06:54:59 PM,08/18/2020 06:55:37 PM,3,5,2
Google Play Random,08/18/2020 06:38:35 PM,08/18/2020 09:10:02 PM,2,3,5
Google Play Random,08/18/2020 06:04:19 PM,08/18/2020 06:07:43 PM,3,5,4
Google Play Random,08/18/2020 06:02:40 PM,08/18/2020 06:03:53 PM,1,5,3
Google Play Random,08/18/2020 04:36:28 PM,08/18/2020 04:36:56 PM,4,5,5
Google Play Random,08/18/2020 04:35:01 PM,08/18/2020 04:36:39 PM,2,3,4
Google Play Random,08/18/2020 04:34:35 PM,08/18/2020 04:36:40 PM,1,1,5
Google Play Random,08/18/2020 04:27:03 PM,08/18/2020 04:29:37 PM,4,5,2
Google Play Random,08/18/2020 04:14:20 PM,08/18/2020 04:15:13 PM,5,3,2
Google Play Random,08/18/2020 03:36:57 PM,08/18/2020 03:37:37 PM,5,1,4
Google Play Random,08/18/2020 03:15:56 PM,08/18/2020 03:17:39 PM,2,5,5
Google Play Random,08/18/2020 02:51:13 PM,08/18/2020 02:53:11 PM,2,4,4
Google Play Random,08/18/2020 02:48:05 PM,08/18/2020 02:49:36 PM,3,5,2
Google Play Random,08/18/2020 02:35:25 PM,08/18/2020 02:37:42 PM,3,5,4
Google Play Random,08/18/2020 01:45:58 PM,08/18/2020 01:48:10 PM,5,4,5
Google Play Random,08/18/2020 01:41:43 PM,08/18/2020 01:43:21 PM,2,5,4
Google Play Random,08/18/2020 01:40:58 PM,08/18/2020 01:41:40 PM,2,4,3
Google Play Random,08/18/2020 01:39:42 PM,08/18/2020 01:40:18 PM,3,2,4
Google Play Random,08/18/2020 01:19:39 PM,08/18/2020 01:20:30 PM,2,4,5
Google Play Random,08/18/2020 01:03:34 PM,08/18/2020 01:04:49 PM,5,4,3
Google Play Random,08/18/2020 12:58:59 PM,08/18/2020 01:01:10 PM,1,5,1
Google Play Random,08/18/2020 12:30:11 PM,08/18/2020 12:31:43 PM,2,4,3
Google Play Random,08/18/2020 12:08:37 PM,08/18/2020 12:09:20 PM,3,4,4
Google Play Random,08/18/2020 12:05:04 PM,08/18/2020 12:06:09 PM,1,5,5
Google Play Beta,08/18/2020 11:46:58 AM,08/18/2020 11:47:57 AM,4,5,3
Google Play Random,08/18/2020 11:35:58 AM,08/18/2020 11:38:34 AM,4,2,4
Google Play Random,08/18/2020 10:53:12 AM,08/18/2020 10:53:51 AM,5,4,1
Google Play Random,08/18/2020 10:31:49 AM,08/18/2020 10:32:41 AM,4,2,3
Google Play Random,08/18/2020 09:39:58 AM,08/18/2020 09:46:49 AM,2,3,5
Google Play Random,08/18/2020 09:20:04 AM,08/18/2020 09:20:34 AM,2,3,5
